codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;despesatotal
1401;3553330.28;1642254.18;1312212.34;76007.67;522856.09;25423.98;553008.3;15344.58;142997.04;205372.67;454277.67;4594378.99;4949754.52
101;4143552.91;1866327.74;1721711.86;227.27;555286.04;24339.25;8388.53;75639.89;466071.98;444469.35;213363;5226347.4;5375824.91
901;833542.08;416192.54;317188.87;17011.05;83149.62;7500;7114.3;43893.69;140261;4511.47;143637.39;1496275.02;1180459.93
701;1282139.29;868135.16;321254.17;39158.1;53591.86;0;9520.23;41089.12;27227.62;23789.78;62882.19;1831347.29;1446648.23
102;1981164.09;1046928.94;828823.78;7785.94;97625.43;0;224659.33;34950.71;516496.12;101967.78;70509.14;3119344;2929747.17
801;10641034.42;5219338.56;4547836.51;27970.25;845889.1;0;362416.69;328284.63;621574.65;264454.7;28340.62;12287223.48;12246105.71
1501;2538462.35;1471036.88;752416.9;3616.97;311391.6;1049.89;409930.54;51270.91;289395.12;57298.23;128728.33;3534707.63;3476135.37
1402;1336000.28;687988.97;408350.43;30897.5;208763.38;22586.91;636.94;2236.6;40535.99;82413.13;225518.44;1929646.21;1709928.29
1001;3397734.62;1615895.81;1111992.05;47364.46;622482.3;178500;28248.4;4801.44;248125.52;283125.69;597531.91;4921425.31;4738067.58
1502;2425237.07;1598869.4;602380.9;7209.77;216777;0;156837.03;25973.2;81556.76;84366.92;80330.89;2217676.52;2854301.87
802;1105783.17;608686.91;315912.99;7597.49;173585.78;12084.23;26579.44;40041.8;131660.51;91019.11;191450.71;2386581.07;1598618.97
1101;3487611.39;2004131.16;818925.84;64056.65;600497.74;0;782323.36;0;119645.45;25810.73;298473.79;4755082.89;4713864.72
401;1233421;612895.65;343102.59;43441.9;233980.86;9800;32556.13;14098.46;43713.93;33084.56;183125.99;1540906.98;1549800.07
1701;1631187.92;839882.45;658796.38;9687.5;122821.59;33403;144214.08;87173.01;313155.11;111351.84;12500;2189762.48;2332984.96
803;1492297.65;698583.6;466321.68;26979.66;300412.71;27837.5;63388.03;1261.16;74113.63;18835.35;280949.02;2104155.77;1958682.34
201;1703573.77;739279.32;617720.25;22730.92;323843.28;3423.56;10651.97;138276.72;588957.44;82010.21;102774.44;2560512.18;2629668.11
