codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;despesatotal
1401;3237115.25;1543353.66;1149369.66;88451.22;455940.71;0;1176298.57;139502.17;33495.7;64473.8;502479.4;6253442.89;5153364.89
101;3807817.7;1542051.17;1802409.69;566.91;462789.93;63616;936890.78;188324.1;218737.88;121777.48;120622.33;5375684.7;5457786.27
901;886980.19;392716.46;340425.99;31267.77;122569.97;4054.97;35448.35;3791.39;247362.51;48261.42;123759.11;2202370.41;1349657.94
701;1328224.34;758186.13;451212.45;19348.25;99477.51;0;391053.33;0;3338.67;18566.38;85510.78;2080767.68;1826693.5
102;1909977.01;933275.89;853783.1;48023.75;74894.27;0;411560.59;0;49454.9;525280.11;72524.71;3251011.02;2968797.32
801;9283047.79;4723865.89;3478019.16;189964.36;891198.38;6150.68;468503.46;13068.75;98847.97;153577.78;550844.38;9753379.66;10574040.81
1501;2928816.58;1316060.18;993994.64;14545.48;604216.28;39.24;48091.14;1887.93;170561.94;69115.93;126385;3390652.04;3344897.76
1402;1243566.12;662881.34;300496.25;66323.98;213864.55;47552.49;19108.05;1504.39;232806.29;56022.93;137117.59;2157531.33;1737677.86
1001;4056687.41;1472344.3;2105908.24;71267.45;407167.42;0;535846.84;8286.7;22719.23;81420.26;630453.67;5530826.81;5335414.11
1502;1995185.26;1525360.61;368847.18;27081.09;73896.38;10000;660714.26;420;5490.08;27563.51;129872.7;2553931.24;2829245.81
802;1074278.44;619196.77;398337.16;4038.02;52706.49;114806.98;0;151661.27;1533.93;222729.5;220733.32;2268521.51;1785743.44
1101;3320011.09;2118845.3;709135.13;101941.7;390088.96;0;507469.56;47689.51;223202.02;69749.11;239367.96;4380658.02;4407489.25
401;1144026.01;598760.39;244616.57;156411.26;144237.79;1951.45;10290.58;18700.75;173494.14;83616.34;379416.01;1966136.25;1811495.28
1701;1231985.62;638524.88;358483.19;104494.59;130482.96;48551.35;21414.5;192279.97;190931.24;233012.12;63402.7;2236144.16;1981577.5
803;1423111.18;680458.89;560028.94;22624.24;159999.11;0;5040.84;39056.63;315294.71;63841.31;162682.99;2068361.39;2009027.66
201;1653306.35;728128.33;554771.12;38209.72;332197.18;0;47450.6;17112.7;150837.89;134739.03;167412.95;2313717.22;2170859.52
1503;11111536.51;5680550.29;3315930.15;302290.59;1812765.48;0;581271.66;52105.83;35427.61;371758.77;382093.15;11603157.66;12534193.53
902;1597831.39;515004.78;709248.56;76279.26;297298.79;0;23465.03;21272.26;406483.8;208372.17;122318.96;2386806.85;2379743.61
1403;2400094.92;1043197.77;999776.17;46938.28;310182.7;50898;103892.04;3985.09;107161.3;104978.59;187108.93;3329593.5;2958118.87
202;1537589.14;843399.37;416098.1;32666.05;245425.62;22500;13681.83;22323.21;53600;260474.47;207461.07;2891870.7;2117629.72
1404;1649758.87;1021366.57;472721.53;103806.04;51864.73;8551.2;71630.07;352.4;0;107447.71;167023.12;1367108.57;2004763.37
1201;1008315.44;564202.02;371898.52;257.72;71957.18;45746.63;240139.45;0;71177.97;187610.15;77974.03;1592951.15;1630963.67
1002;858049.65;358745.81;407391.27;4725.49;87187.08;6702;280518.19;142716.85;123885.23;807733.18;96248.84;2289838.05;2315853.94
203;743177.66;488309.7;164077.75;6867.69;83922.52;0;43623.1;99005.42;23162.29;27144.57;61907.42;1027449.48;998020.46
1115;12388532.22;5872818.42;4094383.07;35203.44;2386127.29;13726.8;85419.13;296007.05;539769.84;166994.43;559930.36;12245605.14;14050379.83
1301;5052816.83;2054795.29;2385363.65;71987.7;540670.19;23984.77;655448.65;79352.68;147877.18;268916.94;738220.11;7670854.97;6966617.16
301;1497094.81;844966.7;402008.37;112921.55;137198.19;0;1562124.93;59211.86;765658.97;45615.76;371448.34;3451575.89;4301154.67
103;1665499.78;715376.12;784596.34;3298.3;162229.02;4916;402466.41;409349.41;630120.39;221638;184763.92;4094888.9;3518753.91
4301;2515229.07;891622.37;458059.98;41328.75;1124217.97;478151;606640.77;17482.96;241608.37;86572.33;320307.16;3539777.34;4265991.66
1003;1539237.56;548416.37;853988.28;74387.39;62445.52;39038.81;300753.5;322071.49;825715.27;88734.37;324772.26;3523377.11;3440323.26
1601;2600818;1143299.05;1161757.31;70923.08;224838.56;208000;46584.08;108690.54;467915.54;390176.19;579220.95;4793277.26;4401405.3
601;1571176.66;806741.05;643715.83;33808.47;86911.31;0;407634.79;27306.92;144953.65;57136.96;182692.75;3504795.37;2390901.73
1801;1191995.98;643054.15;378387.36;79481.32;91073.15;7750;24031.36;5565;292757.69;78492.37;230461.17;1762885.53;1831053.57
104;2171382.83;752069.25;1164418.04;2867.42;252028.12;43012.51;504197.67;52817.59;361011.5;182948.19;151404.26;4128397.24;3466774.55
702;1273751.01;645422.43;470775.63;35246.55;122306.4;7000;31732.86;244542.86;0;118868.75;291569.67;1986300.15;1967465.15
1202;791216.76;371938.48;340610.87;5717.71;72949.7;0;51030.95;757.38;6692.18;62788;40166.04;1368486.59;952651.31
1102;1799277.29;833523.72;763605.66;26586.91;175561;0;122482.84;43822.97;194505.97;21358.89;168819.75;2393937.67;2350267.71
105;4571356.58;2473037.04;838711.6;403726.76;855881.18;562431.8;127313.38;6162.61;245811.42;69064.29;877361.62;6300281.18;6459501.7
1203;1150119.45;824229.28;184158.8;41330.07;100401.3;0;19937.46;3382.4;162066.06;108552.48;660821.66;2143697.56;2104879.51
1103;2391508.33;1294866.12;978892.43;57432.49;60317.29;0;1919.36;138621.59;10490.71;41948.96;450554.59;3143327.28;3035043.54
1302;2026411.8;1071347.53;796445.47;29790.17;128828.63;18701.4;416909.37;3813;230186.79;87043.96;279532.36;3264744.07;3062598.68
302;8021947.67;2867693.26;3657381.17;28407.26;1468465.98;59884;600252.47;0;464097.95;581129.24;2237746.12;12882629.33;11965057.45
204;785890.13;457358.09;159259.4;19451.96;149820.68;205.74;1633.94;0;16106.75;21059.32;102220.54;885906.67;927116.42
1504;6185767.75;3331863.64;1979644.62;83051.25;791208.24;6555.83;164962.44;85430.58;41246.41;187846.79;909395.62;7323694.56;7581205.42
1004;1572049.76;421109.89;933182.65;20087.15;197670.07;12932;151450.13;13038.12;61943.99;116172.39;10557.2;1649437.03;1938143.59
205;3188610.38;1843264.14;1161655.52;57136.24;126554.48;0;57880.22;662330.78;144903.32;515909.1;488558.79;5689480.24;5058192.59
501;740692.64;239193.8;404336.96;10313.05;86848.83;0;0;5535;59222.81;14281.35;68324.18;1785297.28;888055.98
1405;2996947.95;1426153.56;1197820.48;14716.17;358257.74;0;237872.93;141277.86;390148.29;101457.6;293326.29;4153348.52;4161030.92
1005;1616512.89;788750.06;754120.51;31123.83;42518.49;1108.04;15856.87;401212.37;54769.11;71355.32;197164.99;2396124.64;2357979.59
703;1205083.91;688170.37;372218.42;84902.13;59792.99;16125;3491.11;5347.8;17448.18;83886.81;273996.28;1639975.21;1605379.09
1702;1001719.99;491390.77;384742.96;21931.21;103655.05;69592.9;0;72283.83;342200.66;932932.1;296299;2526160.46;2715028.48
303;10704451.6;5801071.79;2855872.72;507123.54;1540383.55;0;281813.27;510362.46;132832.73;1728719.31;5652902.99;17802623.1;19011082.36
